rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),menu_item
4.2/5,164,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500,"['Egg Boiled', 'Egg Omelette', 'Egg Scrambled', 'Sunny Side Up Egg', 'Egg White Only', 'French Toast', 'Crepe', 'Pan Cakes', 'Tomato Soup', 'Cream Of Chicken Soup', 'Classic Garlic Bread', 'Cheese Garlic Bread', 'Veg Cheese Corn Balls', 'Cheese Chilli Garlic Bread', 'Veg Loaded Potato Skins', 'Veg Olive Hummus And Flat Bread', 'Veg Nachos', 'Jalapeno Cheese Balls', 'Paneer Poppers', 'Plain Chicken Wings', 'Spicy Chicken Loaded Potato Skin', 'Barbeque Chicken Wings', 'Chicken Finger', 'Red Hot Chicken Wings', 'Non Veg Nachos', 'Chicken Popcorn', 'Fish Fingers', 'Mac And Cheese Pasta', 'Farmers Pie', 'Paneer Skewers', 'Veg Tajine', 'Caribbean Veg Curry With Fragrant Rice', 'Veg Lasagne', 'Chicken Skewer Rice Bowl', 'Chicken Cordon Bleu', 'Chicken Lasagne', 'Chicken Parmigiana', 'Portuguese Coriander Chicken', 'Fish And Chips', 'Salisbury Chicken Steak', 'Masala Veg Maggie', 'Masala Cheese Maggie', 'Veg Arrabiata Pasta', 'Veg Aglio E Olio Pasta', 'Veg Alfredo Pasta', 'Veg Creamy Tomato Pasta', 'Veg Pesto Pasta', 'Egg Maggie', 'Barbeque Chicken Sausage Maggie', 'Chicken Maggie', 'Chicken Arrabiata Pasta', 'Chicken Aglio E Olio Pasta', 'Chicken Alfredo Pasta', 'Chicken Creamy Tomato Pasta', 'Chicken Pesto Pasta', 'Aloo Burger', 'Mexican Bean Burger', 'Falafel Burger', 'Breakfast Burger', 'Crispy Chicken Burger', 'Smokey Chicken Burger', 'Cheese Chicken Burger', 'Veg Club Sandwich', 'Cheese Spinach And Corn Sub', 'Veg Fajita Sub', 'Pesto Vegetables Sub', 'Crispy Baby Corn Sub', 'Masala Paneer Sub', 'Omelette Sandwich', 'Tandoori Chicken Sandwich', 'Chicken Salami Sub', 'Fajita Sub', 'Chicken Club Sandwich', 'Louisiana Hot Dog', 'Mushroom Corn And Cheese Crepe', 'Spinach And Paneer Crepe', 'Peri Peri Chicken Crepe', 'Pesto Chicken Crepe', 'Tandoori Chicken Crepe', 'Virgin Mojito', 'Butterscotch Milkshake', 'Cold Coffee Mojito', 'Green Apple Mojito', 'Choco Oreo Milkshake', 'Cold Coffee Milkshake', 'Mango Milkshake', 'Mixed Berry Milkshake', 'Strawberry Milkshake', 'Lemon Ice Tea', 'Passion Fruit Mojito', 'Peach Ice Tea', 'Nutella Banana Shake', 'Nutella Chocolate Shake', 'Protein Shake']"
4.2/5,244,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,[]
4.0/5,771,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450,"['Vada', 'Ghee Masala Dosa', 'Onion Dosa', 'Rava Dosa', 'Open Butter Masala', 'Gobi Manchurian', 'Baby Corn Manchurian', 'Panner Manchurian', 'Mushroom Manchurian', 'Veg Noodles', 'Veg Fried Rice', 'Panner Fried Rice', 'Mushroom Fried Rice', 'Panner Tikka', 'Roti', 'Butter Naan', 'Palak Paneer [Serves 2]', 'Paneer Butter Masala [Serves 2]', 'Paneer Kadai [Serves 2]', 'Mushroom Masala [Serves 2]', 'Dal Tadka [Serves 2]', 'Gud Bud Special', 'Panner Malia Tikka', 'Panner Tikka', 'Panner Peshwari Tikka', 'Palak Paneer [Serves 2]', 'Aloo Palak [Serves 2]', 'Palak Gobi [Serves 2]', 'Dal Palak [Serves 2]', 'Corn Palak [Serves 2]', 'Peas Palak [Serves 2]', 'Palak Milan [Serves 2]', 'Baby Corn Masala [Serves 2]', 'Capsicum Masala [Serves 2]', 'Corn Capsicum Masala [Serves 2]', 'Mix Veg Curry [Serves 2]', 'Veg Kurma [Serves 2]', 'Veg Kolapuri [Serves 2]', 'Veg Jaipuri [Serves 2]', 'Veg Hydrabadi [Serves 2]', 'Veg Patiala [Serves 2]', 'Veg Kadai [Serves 2]', 'Veg Do Pyaza [Serves 2]', 'Veg Keema [Serves 2]', 'Veg Mily Chilli [Serves 2]', 'Veg Shahi Kurma [Serves 2]', 'Veg Lajawab [Serves 2]', 'Paneer Kaju Masala [Serves 2]', 'Kaju Masala [Serves 2]', 'Kaju Mutter [Serves 2]', 'Baby Corn Paneer Butter Masala [Serves 2]', 'Paneer Butter Masala [Serves 2]', 'Paneer Kurma [Serves 2]', 'Paneer Pasanda [Serves 2]', 'Paneer Kolhapuri [Serves 2]', 'Paneer Hydrabadi [Serves 2]', 'Paneer Pepper Masala [Serves 2]', 'Khoya Paneer [Serves 2]', 'Paneer Shahi Kurma [Serves 2]', 'Paneer Patiala [Serves 2]', 'Shahi Paneer [Serves 2]', 'Paneer Lajawab [Serves 2]', 'Paneer Kadai [Serves 2]', 'Mushroom Masala [Serves 2]', 'Baby Corn Mushroom Masala [Serves 2]', 'Mushroom Kadai [Serves 2]', 'Aloo Gobi Masala [Serves 2]', 'Aloo Matar [Serves 2]', 'Channa Masala [Serves 2]', 'Dal Fry [Serves 2]', 'Dal Tadka [Serves 2]', 'Dal Makhani [Serves 2]', 'Dal Punjabi [Serves 2]', 'Nargis Kofta [Serves 2]', 'Malai Kofta [Serves 2]', 'Maharani Kofta [Serves 2]', 'Methi Special Kofta [Serves 2]', 'Paneer Kofta [Serves 2]', 'Roti', 'Butter Roti', 'Kulcha', 'Butter Kulcha', 'Naan', 'Butter Naan', 'Methi Roti', 'Pudina Kulcha', 'Masala Kulcha', 'Stuffed Naan', 'Veg Noodles', 'Veg Fried Rice', 'Panner Fried Rice', 'Mushroom Fried Rice', 'Ghee Masala Dosa', 'Ghee Plain Dosa', '2 Set Dosa', 'Onion Dosa', 'Rava Dosa', 'Open Butter Masala', '2 Akki Roti', 'Gobi Manchurian', 'Baby Corn Manchurian', 'Panner Manchurian', 'Mushroom Manchurian', '2 Idly', 'Vada', 'Rava Idly', 'Kesari Bhath', 'Khara Bhath', 'Chow Chow Bhath', '2 Poori', 'Dahi Vada', 'Rice Bhath', 'Bun', 'Coffee', 'Tea', 'Badam Milk', 'Butterscotch Ice Cream [1 Scoop]', 'Pista Ice Cream [1 Scoop]', 'Mango Ice Cream [1 Scoop]', 'Strawberry Ice Cream [1 Scoop]', 'Chocolate Ice Cream [1 Scoop]', 'Vanilla Ice Cream [1 Scoop]', 'Blackcurrant Ice Cream [1 Scoop]', 'Arabian Fantasy Ice Cream [1 Scoop]', 'Fruit Punch Ice Cream [1 Scoop]', 'Gud Bud Special', 'Chocolate Sundae', 'Golden Cherry', 'Double Sundae', 'Hot Chocolate Fudge', 'Royal Falooda', 'Kesar Falooda', 'Gulab Jamun', 'Carrot Halwa', 'Kashi Halwa', 'Mosambi Juice', 'Grape Juice', 'Pineapple Juice', 'Watermelon Juice', 'Muskmelon Juice', 'Pudina Lime Juice', 'Apple Milkshake', 'Chikoo Milkshake', 'Ice Cream Milkshake']"
4.2/5,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,[]
4.0/5,808,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850,[]
4.0/5,424,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450,[]
3.9/5,135,Banashankari,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",800,"['Paneer Tikka Masala', 'Tandoori Roti', 'Kulcha', 'Palak Khichdi', 'Mumbai Style Tawa Pulao', 'Cream of Tomato Soup', 'Dal Shorba', 'Tomato Shorba', 'Veg Shorba', 'Palak Bhutte ka Shorba', 'Veg Clear Soup', 'Lemon Coriander Soup', 'Veg Sweet Corn Soup', 'Veg Manchow Soup', 'Hot and Sour Soup', 'Hara Bhara Lettuce Salad', 'Corn Salad', 'Kumbh Khazana', 'Bharwan Kumbh', 'Banjara Broccoli Tikka', 'Hara Bara Kabab', 'Butte ki Kabab', 'Tandoori Gobi and Aloo', 'Paneer Kolhapuri Tikka', 'Pudina Paneer Tikka', 'Cheese Chilly Sheek Kebab', 'Veg Seekh Kabab', 'Paneer Pahadi kebab', 'Paneer Tiranga', 'Tandoori Baby Corn', 'Paneer Amritsari', 'Palak Tikki', 'Aloo Nazakat', 'Cheese and Vegetables Croquettes', 'Veg Tandoori Platter', 'Golden Fried Baby Corn', 'Gobi in Chilli Sauce', 'Potato in Chilli Sauce', 'Paneer in Chilli Sauce', 'Mushroom in Chilli Sauce', 'Baby Corn in Chilli Sauce', 'Gobi in Manchurian Sauce', 'Potato in Manchurian Sauce', 'Veg Ball in Manchurian Sauce', 'Paneer in Manchurian Sauce', 'Mushroom in Manchurian Sauce', 'Baby Corn in Manchurian Sauce', 'Gobi in Schezwan Sauce', 'Potato in Schezwan Sauce', 'Paneer in Schezwan Sauce', 'Mushroom in Schezwan Sauce', 'Baby Corn in Schezwan Sauce', 'Gobi Salt and Pepper', 'Potato Salt and Pepper', 'Paneer Salt and Pepper', 'Mushroom Salt and Pepper', 'Baby Corn Salt and Pepper', 'Crumb Fried Mushroom', 'Honey Chilly Baby Corn', 'Veg Spring Roll', 'Aloo Capsicum Masala', 'Navratan Korma', 'Veg Kolhapuri', 'Methi Malai Matar', 'Aloo Gobi Matar', 'Mixed Veg Kofta', 'Paneer Kofta', 'Malai Kofta', 'Kashmiri Dum Aloo', 'Kadai Mushroom', 'Kadai Vegetable', 'Baby Corn Jalfrezi', 'Mushroom Jalfrezi', 'Paneer Jalfrezi', 'Mix Veg Jalfrezi', 'Veg Makhanwala', 'Aloo Jeera', 'Veg Do Pyaza', 'Veg Hyderabadi', 'Vegetable Kheema Masala', 'Kaju Khumb Matar', 'Veg Patiala', 'Aloo Palak', 'Matar Palak', 'Mixed Veg Palak', 'Dhingri Matar', 'Paneer Tikka Masala', 'Paneer Butter Masala', 'Mirchi Makai Hara Pyaz', 'Bhendi Do Pyaza', 'Paneer Palak', 'Tandoori Sabzi', 'Methi Corn Palak', 'Subz Panchmel', 'Miloni Tarkari', 'Shahi Dum Aloo', 'Paneer Khurchan', 'Dum ka Kumbh', 'Dal Tadka', 'Dal Kolhapuri', 'Dal Palak', 'Dal Methi', 'Dal Fry', 'Dal Makhani', 'Tandoori Roti', 'Butter Roti', 'Lasuni Roti', 'Kulcha', 'Butter Kulcha', 'Naan', 'Butter Naan', 'Garlic Naan', 'Garlic Butter Nann', 'Garlic Cheese Naan', 'Cheese Naan', 'Lacha Paratha', 'Khasta Roti', 'Aloo Stuffed Kulcha', 'Onion Stuffed Kulcha', 'Mix Veg Stuffed Kulcha', 'Paneer Stuffed Kulcha', 'Aloo Stuffed Paratha', 'Onion Stuffed Paratha', 'Mix Veg Stuffed Paratha', 'Paneer Stuffed Paratha', 'Mix Roti Ke Tokari', 'Subzi Pulao', 'Makai Mutter Pulao', 'Kaju Mutter Pulao', 'Veg Dum Biryani', 'Kashmiri Pulao', 'Aloo Mutter ki Biryani', 'Dal Khichdi', 'Palak Khichdi', 'Basmati Chawala', 'Curd Rice', 'Jeera Pulao', 'Peas Pulao', 'Ghee Pulao', 'Corn Pulao', 'Paneer Pulao', 'Mumbai Style Tawa Pulao', 'Veg Fried Rice', 'Veg Noodles', 'Schezwan Fried Rice', 'Schezwan Noodles', 'American Corn Noodles', 'Combination Fried Rice', 'Mushroom Chilli Fried Rice', 'Margherita Pizza', 'Peri Peri Pizza', 'Sicilia Pizza', 'Four Seasons Pizza', 'Red Sauce Arrabiata Pasta', 'White Alfredo Sauce Pasta', 'Pink Barbaresca Sauce Pasta', 'Cheese Garlic Bread', 'Masala Garlic Bread', 'Nachos with Cheese Sauce', 'Onion Rings', 'Cheese Corn Roll', 'French Fries', 'Garden Fresh Green Salad', 'Cucumber Salad', 'Fried Peanut Masala', 'Peanut Onion Masala', 'Roasted Papad', 'Fried Papad', 'Roasetd Masala Papad', 'Fried Masala Papad', 'Peanut Masala Papad', 'Pineapple Raita', 'Boondi Raita', 'Cucumber Raita', 'Mixed Raita', 'Plain Curd', 'Brownie with Ice cream', 'Gulab Jamun', 'Malai Kulfi', 'Kesar Pista Kutfi', 'Fresh Cheese Cake', 'Fruit Salad', 'Chocolate Bomb', 'Gulab Jamun with Ice Cream', 'Fruit Salad with Ice Cream', 'Vanilla Ice Cream [2 Scoops]', 'Strawberry Ice Cream [2 Scoops]', 'Mango Ice Cream [2 Scoops]', 'Butterscotch Ice Cream [2 Scoops]', 'Chocolate Ice Cream [2 Scoops]', 'Vanilla Ice Cream [1 Scoops]', 'Strawberry Ice Cream [1 Scoops]', 'Mango Ice Cream [1 Scoops]', 'Butterscotch Ice Cream [1 Scoops]', 'Chocolate Ice Cream [1 Scoops]', 'Mint Cooler', 'Adraki Orange Thanda', 'Sweet Lassi', 'Salted Lassi', 'Jal Jeera', 'Chaas', 'Butter Milk', 'Virgin Mojito', 'Blue Lagoon', 'Lemon Ice Tea', 'Fresh Lime Soda', 'Choco Loco Milkshake', 'Mango Tango Milkshake', 'Creme De Fresca Milkshake', 'Ice Coffee Milkshake']"
3.8/5,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,[]
3.8/5,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,[]
3.9/5,519,Banashankari,Casual Dining,"Tom Yum Soup, Wine, Spring Roll, Singapore Noodles, Manchow Soup, Golden Fried Prawns, Lamb","Chinese, Momos, Thai, Vietnamese",900,[]
3.6/5,105,Banashankari,Casual Dining,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700,[]
3.9/5,133,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800,"['Chicken Manchow Soup', 'Chicken Hot and Sour Soup', 'French Fries', 'Chicken Momos', 'Double Masala Maggi', 'Margarita Panini', 'Spinach and Feta Grilled Cheese Panini', 'Pesto Italiano Panini', 'Pesto, Mozzarella and Tomato Panini', 'Chicken Caprese Panini', 'Grilled Chicken and Roasted Red Pepper Panini', 'Veg Hot and Sour Soup', 'Veg Manchow Soup', 'Veg Lemon Coriander Soup', 'Korean Style Veg Noodle Soup', 'Chicken Lemon Coriander Soup', 'Chicken Manchow Soup', 'Chicken Hot and Sour Soup', 'Chicken Korean Style Noodle Soup', 'Hara Bara Kabab', 'Gobi Chilli', 'Gobi Schezwan', 'Baby Corn Chilly', 'Baby Corn Schezwan', 'BBQ Baby Corn', 'Paneer Chilly', 'Paneer Schezwan', 'Paneer 65', 'Olive Paneer', 'Mushroom Chilly', 'Schezwan Mushroom', 'Catch Up Ino Special Veg', 'Egg Chilly', 'Chicken Lollipop', 'Chicken Wings', 'Chilly Chicken', 'Schezwan Chicken', 'BBQ Chicken', 'Pepper Chicken', 'Lemon Chicken', 'Honey Chilly Chicken', 'Olive Chicken', 'Crispy Threaded Chicken', 'Catch Up Ino Special Chicken', 'Fried Rice', 'Noodles', 'Schezwan Fried Rice', 'Schezwan Noodles', 'Butter Garlic Fried Rice', 'Butter Garlic Noodles', 'Chilly Garlic Fried Rice', 'Chilly Garlic Noodles', 'Veg Arrabbiatta Pasta', 'Veg Alfredo Pasta', 'Veg Mixed Sauce Pasta', 'Veg Pesto Pasta', 'Chicken Arrabbiatta Pasta', 'Chicken Alfredo Pasta', 'Chicken Mixed Sauce Pasta', 'Chicken Pesto Pasta', 'Veg Burger', 'Tandoori Paneer Burger', 'Spinach and Corn Burger', 'Cheese Burger', 'Chilli Chicken Burger', 'Cheesy Chicken Burger', 'Veg Roll', 'Chilly Paneer Roll', 'Mushroom Roll', 'Veg Momos', 'Chicken Momos', 'Chicken Roll', 'French Fries', 'Piri Piri Fries', 'Cheesy Pizza Fries', 'Potato Wedges', 'Chana Jor Garam', 'Loaded Nachos', 'Jalapeno Cheese Balls', 'Chatpata Corn Samosa', 'Chicken Samosa', 'Chilli Garlic Chicken Nuggets', 'Veg Spring Roll', 'Paneer Spring Roll', 'Chicken Spring Roll', 'Veg Maggi', 'Double Masala Maggi', 'Peri Peri Maggi', 'Cheese Maggi', 'Paneer Masala Maggi', 'Maggi Cutlet', 'Majjige Huli Maggi', 'Egg Masala Maggi', 'Oreo Shake', 'Kit Kat Shake', 'Ferrero Shake', 'Nutella Rocher Shake', 'Vanilla Shake', 'Chocolate Shake', 'Mango Shake', 'Kiwi Shake', 'Strawberry Shake', 'Lychee Shake', 'Blueberry Shake', 'Pistachino and Saffron Shake', 'Blue Lagoon', 'Pina Colada', 'Lemon Ice Tea', 'Kiwi Lemonade', 'Pink Lemonade', 'Bulberry', 'Mint Mojito', 'Virgin Mojito', 'Green Apple Mojito', 'Blueberry Mojito', 'Fresh Lime Soda', 'Coke [250 ml]', 'Redbull']"
3.8/5,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,[]
3.9/5,93,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300,[]
3.8/5,42,Banashankari,Quick Bites,"Roti, Masala Dosa","South Indian, North Indian, Chinese",300,"['Kerala Paratha with Kurma', 'Idly', 'Masala Dosa', 'Butter Masala Dosa', 'Rava Idly', 'Kerala Paratha with Kurma', 'Coffee', 'Tea', 'Hot Badam Milk', 'Idly', 'Curd Rice', 'Bajji', 'Set Dosa', 'Masala Dosa', 'Plain Dosa', 'Butter Masala Dosa', 'Butter Plain Dosa', 'Onion Uttapam', 'Open Butter Masala Dosa', 'Ghee', 'Butter', 'Gadbad Ice Cream', 'Titanic Special Ice Cream', 'Honeymoon Special Ice Cream', 'SKB Special Ice Cream', 'Fruit Salad', 'Fruit Salad with Ice Cream', 'Jamun with Ice Cream', 'Vanilla Ice Cream', 'Chocolate Ice Cream', 'Pista Ice Cream', 'Strawberry Ice Cream', 'Butterscotch Ice Cream', 'Mango Ice Cream', 'Mosambi Juice', 'Orange Juice', 'Mango Juice', 'Grape Juice', 'Pineapple Juice', 'Lemon Juice', 'Watermelon Juice', 'Apple Milkshake', 'Sapota Milkshake', 'Mango Milkshake', 'Cold Badami Milkshake', 'Sweet Lassi', 'Salt Lassi', 'Vanilla Ice Cream Milkshake', 'Chocolate Ice Cream Milkshake', 'Pista Ice Cream Milkshake', 'Strawberry Ice Cream Milkshake', 'Butterscotch Ice Cream Milkshake', 'Mango Ice Cream Milkshake']"
2.5/5,247,Banashankari,Casual Dining,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,500,"['Kadhai Veg', 'Dum Aloo Banarsi', 'Aloo Gobi', 'Dal Tadka', 'Butter Tandoori Roti', 'Dal Bati Churma', 'Cream of Tomato Soup', 'Cream of Veg Soup', 'Mixed Veg Soup', 'Sweet Corn Soup', 'Stuffed Tikki', 'Hara Bhara Kabab', 'Milejule Pakode', 'Finger Chips', 'Paneer Tikka', 'Paneer Pudina Tikka', 'Chilli Paneer', 'Babycorn Manchurian', 'Babycorn Pepper Dry', 'Babycorn Chilly', 'Gobi Manchurian', 'Mixed Vegetable', 'Kadhai Veg', 'Dum Aloo Kashmiri', 'Dum Aloo Banarsi', 'Deshi Dum Aloo', 'Aloo Palak', 'Chole Masala', 'Rajma Masala', 'Matar Paneer', 'Shahi Malai Paneer', 'Shahi Paneer', 'Paneer Butter Masala', 'Palak Paneer', 'Kadhai Paneer', 'Paneer Tikka Masala', 'Shahi Malai Kofta', 'Plain Palak', 'Palak Kofta', 'Methi Mutter Malai', 'Kaju Masala Mutter', 'Tawa Veg', 'Jeera Aloo', 'Aloo Do Pyaza', 'Aloo Matar', 'Aloo Gobi Matar', 'Aloo Gobi', 'Aloo Methi', 'Bhindi Do Pyaza', 'Bhindi Chilli', 'Bhindi Masala', 'Gobi Masala', 'Masaledar Karela', 'Bharwan Mirchi', 'Baigan Bharta', 'Paneer Bhurji', 'Rajasthani Kadhi', 'Gatte ki Subzi', 'Sarson ka Saag', 'Stuffed Tomato', 'Zaiqedaar Bhindi', 'Dal Tadka', 'Yellow Dal Fry', 'Palak Dal', 'Dal Makhani', 'Plain Paratha', 'Ajwaini Paratha', 'Methi Paratha', 'Aloo Paratha', 'Gobi Paratha', 'Mooli Paratha', 'Pyaz Paratha', 'Sattu Paratha', 'Paneer Paratha', 'Lachha Paratha', 'Tawa Roti', 'Ghee Tawa Roti', 'Tandoori Roti', 'Butter Tandoori Roti', 'Garlic Naan', 'Butter Naan', 'Plain Naan', 'Khasta Roti', 'Missi Roti', 'Makkai Roti', 'Bajra Roti', 'Plain Kulcha', 'Butter Kulcha', 'Stuffed Aloo Kulcha', 'Stuffed Gobi Kulcha', 'Stuffed Onion Kulcha', 'Stuffed Mixed Veg Kulcha', 'Stuffed Paneer Kulcha', 'Plain Rice', 'Jeera Rice', 'Yellow Khichadi', 'Ghee Rice', 'Peas Pulao', 'Vegetable Pulao', 'Veg Biryani', 'Dum Aloo Biryani', 'Fried Rice', 'Onion Tomato Pulao', 'Curd Rice', 'Green Salad', 'Sprouts Salad', 'Sada Papad', 'Masala Papad', 'Sada Dahi', 'Aloo Raita', 'Mix Veg Raita', 'Cucumber Raita', 'Boondi Raita', 'Pudina Raita', 'Gulab Jamun', 'Gajar ka Halwa', 'Moong Dal Halwa', 'Mal Pua', 'Mal Pua with Rabdi', 'Rasgulla', 'Special Pista Kulfi', 'Mango Kulfi', 'Rajasthani Kesar Lassi', 'Lassi', 'Kesari Thandai', 'Nimbu Shikanji', 'Jal Jeera', 'Chhach']"
3.0/5,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,"['Ginnu', 'French Fries', 'Veggie Cheese Sandwich', 'Chicken Burger', 'Chicken Cheese Sandwich', 'Veg Burger', 'Paneer Burger', 'Veggie Cheese Sandwich', 'Egg Cheese Sandwich', 'Chicken Burger', 'Vintage Maharaja Chicken Burger', 'Chicken Cheese Sandwich', 'Corn Pizza', 'Paneer Pizza', 'Mixed Vegetable Pizza', 'Chicken Pizza', '4 Neer Dosa', 'French Fries', 'Bread Omelette', 'French Toast', 'Ginnu', 'Daily Baked Coffee Cake [1 Slice]', 'Banana Cake', 'Dark Double Chocolate with Milk', 'Hot Chocolate', 'Hot Milk Tea [Serves 2]']"
